2026-06-13 07:02:43,982 | INFO | Bulk Upserting 100 records
2026-06-13 07:02:48,237 | INFO | Bulk Upserting 100 records
2026-06-13 07:02:52,753 | INFO | Bulk Upserting 100 records
2026-06-13 07:02:57,292 | INFO | Bulk Upserting 100 records
2026-06-13 07:03:02,390 | INFO | Bulk Upserting 100 records
2026-06-13 07:03:07,882 | INFO | Bulk Upserting 100 records
2026-06-13 07:03:12,873 | INFO | Bulk Upserting 100 records
2026-06-13 07:03:18,035 | INFO | Bulk Upserting 100 records
2026-06-13 07:03:22,644 | INFO | Bulk Upserting 100 records
2026-06-13 07:03:27,330 | INFO | Bulk Upserting 100 records
2026-06-13 07:03:31,847 | INFO | Bulk Upserting 100 records
2026-06-13 07:03:36,497 | INFO | Bulk Upserting 100 records
2026-06-13 07:03:41,078 | INFO | Bulk Upserting 100 records
2026-06-13 07:03:45,466 | INFO | Bulk Upserting 100 records
2026-06-13 07:03:49,863 | INFO | Bulk Upserting 100 records
2026-06-13 07:03:54,411 | INFO | Bulk Upserting 100 records
2026-06-13 07:03:58,716 | INFO | Bulk Upserting 100 records
2026-06-13 07:04:03,333 | INFO | Bulk Upserting 100 records
2026-06-13 07:04:09,431 | INFO | Bulk Upserting 99 records
2026-06-13 07:04:14,166 | INFO | Bulk Upserting 100 records
2026-06-13 07:04:18,992 | INFO | Bulk Upserting 100 records
2026-06-13 07:04:23,417 | INFO | Bulk Upserting 100 records
2026-06-13 07:04:27,976 | INFO | Bulk Upserting 100 records
2026-06-13 07:04:32,044 | INFO | Bulk Upserting 100 records
2026-06-13 07:04:36,607 | INFO | Bulk Upserting 100 records
2026-06-13 07:04:41,158 | INFO | Bulk Upserting 100 records
2026-06-13 07:04:45,618 | INFO | Bulk Upserting 100 records
2026-06-13 07:04:49,963 | INFO | Bulk Upserting 100 records
2026-06-13 07:04:54,298 | INFO | Bulk Upserting 100 records
2026-06-13 07:04:58,685 | INFO | Bulk Upserting 100 records
2026-06-13 07:05:03,028 | INFO | Bulk Upserting 100 records
2026-06-13 07:05:07,434 | INFO | Bulk Upserting 100 records
2026-06-13 07:05:11,719 | INFO | Bulk Upserting 100 records
2026-06-13 07:05:15,981 | INFO | Bulk Upserting 100 records
2026-06-13 07:05:20,254 | INFO | Bulk Upserting 100 records
2026-06-13 07:05:24,885 | INFO | Bulk Upserting 90 records
2026-06-13 07:05:29,303 | INFO | Bulk Upserting 100 records
2026-06-13 07:05:33,737 | INFO | Bulk Upserting 100 records
2026-06-13 07:05:38,717 | INFO | Bulk Upserting 100 records
2026-06-13 07:05:43,565 | INFO | Bulk Upserting 100 records
2026-06-13 07:05:48,146 | INFO | Bulk Upserting 100 records
2026-06-13 07:05:52,472 | INFO | Bulk Upserting 100 records
2026-06-13 07:05:57,032 | INFO | Bulk Upserting 100 records
2026-06-13 07:06:01,306 | INFO | Bulk Upserting 100 records
2026-06-13 07:06:05,795 | INFO | Bulk Upserting 100 records
2026-06-13 07:06:10,995 | INFO | Bulk Upserting 100 records
2026-06-13 07:06:15,011 | INFO | Bulk Upserting 100 records
2026-06-13 07:06:19,358 | INFO | Bulk Upserting 100 records
2026-06-13 07:06:23,512 | INFO | Bulk Upserting 100 records
2026-06-13 07:06:27,927 | INFO | Bulk Upserting 99 records
2026-06-13 07:06:32,343 | INFO | Bulk Upserting 100 records
2026-06-13 07:06:36,560 | INFO | Bulk Upserting 100 records
2026-06-13 07:06:40,899 | INFO | Bulk Upserting 100 records
2026-06-13 07:06:45,447 | INFO | Bulk Upserting 100 records
2026-06-13 07:06:49,723 | INFO | Bulk Upserting 99 records
2026-06-13 07:06:54,015 | INFO | Bulk Upserting 100 records
2026-06-13 07:06:58,446 | INFO | Bulk Upserting 100 records
2026-06-13 07:07:02,821 | INFO | Bulk Upserting 100 records
2026-06-13 07:07:07,054 | INFO | Bulk Upserting 100 records
2026-06-13 07:07:11,293 | INFO | Bulk Upserting 100 records
2026-06-13 07:07:15,549 | INFO | Bulk Upserting 100 records
